CSI amplitudes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,state
58,9,9,9,7,7,4,5,3,3,3,4,4,5,6,7,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,12,12,12,12,13,13,13,14,13,14,14,15,16,16,17,0
59,10,10,8,8,7,6,4,4,2,3,4,4,5,5,5,7,7,7,7,8,8,8,8,8,8,8,7,9,9,9,9,9,10,9,9,10,10,10,10,11,10,10,11,11,11,11,12,12,13,13,13,14,0
60,12,11,11,9,8,6,5,4,4,4,5,6,7,7,8,9,9,10,10,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,12,13,13,14,14,14,14,15,15,15,15,16,16,17,17,18,18,18,0
61,9,9,7,6,6,5,4,3,3,3,4,4,6,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,10,10,11,10,11,11,11,12,12,12,12,13,13,13,14,14,14,0
62,13,11,10,9,8,7,6,4,4,5,6,7,7,9,10,10,10,11,12,11,12,11,12,12,11,12,12,12,12,13,14,14,14,14,14,13,14,13,14,14,14,14,15,15,16,16,17,17,17,19,18,19,0
63,11,11,9,9,6,6,5,4,4,5,5,6,8,8,9,9,10,10,11,11,11,11,11,11,11,11,12,11,12,12,12,13,13,13,12,12,13,13,13,13,13,14,14,14,15,15,15,16,16,16,16,17,0
64,10,9,9,9,7,6,5,4,4,3,4,5,6,7,8,9,9,9,9,10,10,10,10,10,10,11,10,11,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,14,14,14,15,16,15,15,0
65,12,11,10,9,9,7,6,5,4,4,4,6,6,7,8,8,10,10,10,10,11,11,10,11,11,11,11,11,11,12,12,12,12,12,12,13,12,12,13,14,14,14,13,14,13,16,16,16,15,14,16,17,0
66,12,11,10,10,9,7,6,6,6,6,6,6,8,9,9,10,10,10,12,12,13,13,12,12,13,12,11,13,12,12,14,13,14,14,13,14,13,15,15,14,13,15,15,14,15,16,16,16,16,16,17,17,0
67,11,10,9,9,8,7,6,4,5,4,5,6,7,7,9,9,10,10,11,11,11,11,10,11,11,11,11,11,12,12,12,13,13,13,12,11,12,12,13,14,14,14,14,14,15,14,15,15,16,16,17,17,0
68,10,10,9,8,7,6,5,5,5,5,6,7,8,8,9,9,11,9,11,11,11,11,11,11,11,11,11,11,11,11,12,11,12,11,13,12,13,12,13,13,13,13,13,14,13,14,15,14,14,15,16,17,0
69,11,11,10,9,9,7,7,6,6,6,6,8,9,8,9,10,11,11,11,12,12,12,11,12,12,12,11,12,12,12,12,13,13,14,12,12,13,13,13,13,13,13,14,14,14,14,15,15,16,16,16,17,0
70,11,11,9,9,7,6,6,5,5,6,7,7,8,8,10,11,11,11,11,12,12,12,12,11,12,12,11,12,13,13,13,13,13,13,14,13,14,13,13,14,14,14,15,15,15,15,16,16,15,16,17,18,0
