amp-ave,amp-sd,phase-ave,phase-sd,group
18.555,6.392,1.659,0.246,1
16.754,5.817,-0.176,0.225,1
16.837,5.708,1.548,0.24,1
21.879,7.28,-1.838,0.231,1
21.968,7.396,-1.769,0.231,1
17.507,5.921,1.974,0.269,1
18.551,6.578,-0.075,0.248,1
19.552,6.595,-2.88,0.208,1
18.695,6.523,0.962,0.246,1
20.646,7.225,-0.383,0.233,1
19.341,6.427,1.412,2.516,1
18.681,6.597,0.295,0.237,1
20.102,6.824,-1.332,0.212,1
19.731,6.638,-1.935,0.233,1
21.094,7.361,1.025,0.261,1
21.703,7.467,-1.104,0.217,1
17.601,6.015,-0.85,0.243,1
18.943,6.477,2.048,0.272,1
21.353,7.579,0.724,0.237,1
22.469,7.268,-2.052,0.248,1
19.624,6.577,2.09,0.248,1
17.045,6.006,0.281,0.226,1
20.23,6.688,-1.645,0.22,1
20.443,6.835,-2.038,0.241,1
22.685,7.579,-2.893,0.236,1
19.019,6.574,0.831,0.227,1
18.174,6.093,-1.692,0.224,1
20.652,6.795,-2.633,0.213,1
18.507,6.098,-1.607,0.213,1
20.924,7.288,-0.289,0.214,1
19.799,6.535,2.46,0.229,1
19.427,6.475,2.03,0.252,1
18.374,6.048,-2.375,0.231,1
19.085,6.334,2.499,0.251,1
18.162,6.335,-0.166,0.205,1
16.656,5.863,0.304,0.252,1
21.466,7.169,2.314,0.23,1
18.033,6.101,1.827,0.243,1
20.078,6.519,-2.797,0.25,1
19.806,6.352,-2.261,0.22,1
17.922,5.988,-2.875,0.219,1
21.04,7.189,-0.096,0.229,1
17.854,5.774,-2.196,1.96,1
20.986,7.108,1.712,0.236,1
19.285,6.447,-1.564,0.237,1
21.004,7.192,1.56,0.244,1
19.102,6.222,1.916,1.987,1
19.774,6.64,-2.005,0.24,1
19.346,6.374,-1.49,0.217,1
19.084,6.717,1.028,0.246,1
21.135,7.207,1.693,0.267,1
21.921,7.352,-1.569,0.236,1
19.333,6.428,1.822,2.102,1
18.882,6.466,-0.412,0.208,1
19.421,6.298,-2.885,0.232,1
18.427,6.408,0.503,0.257,1
21.126,7.419,0.396,0.247,1
18.431,6.344,0.744,0.247,1
17.859,5.796,-2.071,0.21,1
21.175,6.875,-2.632,0.195,1
17.423,6.047,-0.541,0.249,1
18.638,6.328,1.67,0.23,1
19.567,6.39,-1.864,0.207,1
19.575,6.489,2.215,0.24,1
19.736,6.784,-0.792,0.239,1
20.996,7.333,0.362,0.24,1
19.599,6.443,-2.793,0.266,1
17.834,5.735,-2.702,0.231,1
18.608,6.404,1.898,0.242,1
19.492,6.454,2.324,0.263,1
19.186,6.039,-2.468,0.218,1
22.152,7.201,-1.9,0.226,1
18.416,6.265,1.412,0.249,1
18.901,6.526,-0.489,0.227,1
20.957,7.334,0.807,0.259,1
19.553,6.338,1.358,2.606,1
18.842,6.543,0.994,0.268,1
19.732,6.564,2.282,0.246,1
19.227,6.683,0.356,0.242,1
18.293,6.062,1.271,2.653,1
19.853,6.589,2.571,0.234,1
20.236,6.541,0.584,2.945,1
17.879,5.819,2.407,0.255,1
20.331,6.831,-1.701,0.248,1
20.467,6.611,-1.96,0.243,1
20.709,6.744,-2.384,0.202,1
19.608,6.529,1.997,0.264,1
17.362,6.097,1.671,0.235,1
20.566,6.743,-1.874,0.226,1
18.917,6.483,-0.847,0.228,1
18.446,6.324,1.565,0.255,1
17.921,5.771,-2.786,0.233,1
17.433,5.712,2.549,0.24,1
19.391,6.782,-0.425,0.245,1
18.483,6.298,1.427,0.24,1
17.016,5.913,-0.561,0.233,1
17.815,5.881,1.626,2.406,1
22.022,7.192,-2.785,0.223,1
17.63,6.136,-0.805,0.238,1
19.492,6.407,-1.647,0.227,1
17.608,6.083,2.162,1.711,1
17.995,6.222,1.651,0.217,1
20.967,7.074,2.017,0.235,1
16.825,5.83,-0.21,0.213,1
17.864,5.849,-2.068,0.216,1
18.491,6.505,0.104,0.238,1
19.698,6.469,2.701,0.222,1
16.977,5.806,1.631,0.233,1
21.002,7.272,0.153,0.233,1
16.622,5.922,0.109,0.246,1
17.123,5.886,2.27,0.216,1
17.914,5.849,-1.844,0.206,1
22.195,7.38,-1.769,0.211,1
19.802,6.524,2.657,0.243,1
18.644,6.397,1.622,0.228,1
19.733,6.548,-1.691,0.205,1
19.27,6.679,0.32,0.228,1
17.299,6.197,0.087,0.223,1
19.425,6.74,-0.651,0.21,1
19.246,6.701,-0.298,0.211,1
22.371,7.588,-1.316,0.208,1
17.892,5.964,2.51,0.214,1
18.466,5.941,0.885,2.865,1
19.869,6.429,1.274,2.661,1
18.508,6.068,-1.965,2.209,1
19.688,6.503,2.43,0.266,1
20.543,6.688,-2.773,0.234,1
17.755,6.16,-0.521,0.237,1
18.327,6.269,-1.243,0.201,1
20.357,6.789,-1.306,0.212,1
19.659,6.435,0.106,3.018,1
18.444,6.264,1.591,0.234,1
19.562,6.567,2.156,0.23,1
20.583,6.788,2.329,0.247,1
19.385,6.218,2.608,0.215,1
19.047,6.539,-0.799,0.2,1
18.729,6.467,-0.073,0.223,1
19.268,6.313,1.924,1.99,1
17.553,5.713,1.357,2.592,1
19.422,6.452,-1.131,0.216,1
21.79,7.214,2.633,0.228,1
15.119,5.169,1.772,0.254,1
19.727,6.39,-2.663,0.201,1
20.166,6.72,-1.696,0.223,1
21.225,7.046,1.747,0.23,1
19.052,6.544,-0.698,0.216,1
19.7,6.891,-0.671,0.229,1
19.414,6.369,2.697,0.21,1
19.621,6.443,1.635,2.395,1
18.757,6.626,-0.157,0.236,1
17.147,6.007,-0.655,0.231,1
18.613,6.368,1.509,0.241,1
18.296,5.935,-2.548,0.226,1
19.409,6.22,1.324,2.587,1
18.249,6.554,1.212,0.228,1
18.721,6.402,1.697,0.251,1
20.09,6.686,1.44,2.554,1
21.118,7.311,0.568,0.245,1
18.692,5.967,-2.163,0.211,1
19.391,6.567,-0.478,0.213,1
18.327,6.392,0.956,0.242,1
16.905,5.599,2.391,0.242,1
19.246,6.169,-2.639,0.222,1
16.234,5.803,0.837,0.23,1
18.46,6.389,-0.088,0.227,1
21.863,7.061,2.254,1.55,1
16.768,5.55,-1.455,0.205,1
18.557,6.18,1.914,0.267,1
18.323,6.38,0.8,0.248,1
18.682,6.495,-0.357,0.204,1
18.299,6.424,0.128,0.231,1
17.539,5.959,2.362,0.251,1
18.541,6.164,2.092,0.248,1
16.616,5.78,-0.637,0.223,1
