no-people,people
17.96,19.192
18.623,18.014
14.954,19.376
18.859,20.767
17.429,18.909
19.27,16.973
19.517,17.741
19.461,15.218
17.658,13.757
17.615,16.842
19.782,17.319
19.699,18.104
18.855,16.987
19.956,16.353
22.37,19.062
20.111,20.089
19.765,20.404
18.15,20.398
19.984,16.727
19.033,17.272
19.547,21.885
18.726,21.115
19.448,20.196
19.617,17.346
19.157,17.969
19.833,20.804
19.676,20.994
18.652,20.209
18.363,21.832
19.157,18.984
19.404,19.055
18.889,18.063
18.943,20.258
19.561,17.69
20.118,17.234
19.903,19.215
19.813,15.105
20.137,17.433
18.238,15.632
19.043,17.104
19.779,18.074
17.061,18.56
17.231,17.604
19.966,16.373
17.818,19.015
16.611,18.364
18.566,16.217
18.447,17.238
19.13,19.113
18.735,19.6
16.286,18.868
19.173,16.377
19.793,18.939
18.071,19.78
19.795,19.667
19.468,18.67
16.924,20.853
18.683,21.312
17.324,17.515
18.294,20.685
17.479,21.502
17.446,17.91
19.405,19.83
18.814,20.726
19.286,19.325
16.833,22.663
17.089,19.148
19.867,19.004
18.745,18.951
19.03,20.708
22.207,19.851
18.992,17.231
19.006,17.262
18.298,18.77
19.355,17.576
18.97,16.467
18.439,15.053
22.076,19.216
18.848,18.039
19.528,17.356
20.827,20.575
17.706,20.688
18.661,23.37
19.085,21.249
19.069,22.127
19.786,21.051
17.996,19.768
18.345,19.298
18.463,21.429
19.932,21.017
19.407,19.701
18.831,21.794
19.679,18.84
19.894,19.603
17.811,19.244
19.019,20.512
17.282,21.773
16.459,19.801
18.701,21.368
20.056,19.796
18.174,20.844
18.587,20.089
18.794,21.162
17.125,20.721
19.915,21.372
18.914,20.218
19.2,19.455
17.016,19.296
19.999,20.376
17.417,17.338
19.161,21.251
16.487,17.028
19.496,19.014
20.312,22.134
18.35,17.971
17.788,21.253
18.522,19.199
17.719,18.562
22.064,20.635
19.282,20.368
17.944,20.909
16.925,19.749
19.812,20.832
19.329,21.721
17.317,20.151
17.63,21.024
18.542,20.156
18.483,21.653
18.572,19.667
17.416,20.289
19.619,21.018
16.874,19.486
17.217,20.855
19.755,19.935
19.375,21.538
17.923,19.828
17.862,19.714
19.391,20.703
21.613,19.523
19.006,20.183
18.992,19.547
19.877,22.241
19.914,17.771
17.192,20.662
18.359,19.046
16.117,20.663
19.518,19.405
18.391,17.913
17.763,18.359
16.516,19.272
19.219,20.439
18.214,16.946
17.821,17.557
19.486,19.445
19.911,17.267
20.018,17.412
19.592,18.137
17.259,17.359
17.124,21.84
20.927,21.815
17.738,16.969
17.688,18.734
19.691,21.66
19.006,21.027
19.48,18.345
19.799,17.81
19.486,17.267
15.211,18.693
19.965,19.737
19.514,21.519
22.164,20.463
19.687,18.688
19.403,21.467
21.319,17.14
19.076,19.494
16.727,18.35
18.947,17.599
19.939,20.83
17.446,20.252
19.817,18.104
18.499,20.761
19.328,18.198
18.197,17.719
18.48,16.823
18.765,18.338
18.341,14.845
18.458,15.937
15.335,20.243
19.266,20.578
18.227,19.858
18.467,19.289
18.175,20.297
17.058,17.009
18.932,19.115
18.205,20.276
19.267,16.834
18.526,21.415
16.497,18.36
19.059,17.979
17.174,17.836
15.903,18.986
18.498,22.674
17.766,21.708
18.413,19.089
19.444,24.23
18.636,21.235
19.089,17.657
19.828,20.402
19.468,17.547
17.692,21.183
17.223,21.157
19.605,22.716
19.266,20.642
19.524,20.841
19.763,19.041
18.109,20.763
16.744,18.83
16.635,18.606
18.17,17.829
18.073,17.693
17.927,20.062
21.102,20.245
19.264,18.818
19.491,19.158
17.613,17.716
17.061,17.346
16.886,17.52
16.27,19.598
17.667,20.218
17.493,17.739
17.643,19.46
18.21,17.401
19.304,16.798
18.126,20.434
16.47,17.297
17.644,18.1
17.836,20.058
17.266,19.07
18.394,18.221
19.112,20.425
18.597,16.988
19.165,17.713
19.959,18.235
19.259,19.534
18.585,21.995
18.646,19.539
16.223,18.316
16.974,16.344
19.207,19.571
18.9,16.573
16.955,18.688
21.107,21.12
16.153,18.842
19.563,17.85
17.158,17.056
21.535,16
18.619,18.769
21.194,21.263
18.584,20.478
21.7,18.827
18.751,19.739
16.608,18.572
20.51,17.747
17.006,19.319
19.221,17.433
19.445,16.944
17.291,19.74
16.193,17.763
18.365,17.729
18.445,18.455
21.437,21.05
21.083,20.959
18.295,20.922
14.487,20.701
19.34,20.186
17.954,19.34
17.879,19.291
16.465,17.014
17.538,19.094
16.518,19.438
21.45,17.727
17.279,20.573
20.486,20.123
18.41,20.003
19.444,17.406
18.587,21.807
17.28,18.637
17.251,18.445
20.499,20.124
18.203,20.264
17.093,19.423
18.596,20.121
18.136,19.173
17.573,18.674
19.055,20.741
17.761,21.021
19.922,19.687
18.465,19.042
20.103,21.762
18.889,19.167
17.2,21.301
19.042,21.166
20.155,17.775
18.386,20.278
19.501,20.97
18.663,21.113
17.926,18.39
20.703,19.89
17.488,19.312
19.04,20.589
17.258,19.084
17.433,18.88
18.474,22.991
19.205,23.343
20.874,19.044
19.452,19.084
15.002,20.777
17.733,21.099
17.983,20.577
20.237,21.16
18.112,20.34
20.573,20.814
17.096,20.846
17.341,20.911
20.183,20.018
16.706,19.762
20.967,17.595
18.286,20.758
18.6,19.691
15.87,20.372
16.806,19.71
18.449,16.395
17.96,16.989
18.027,15.231
20.47,16.522
17.356,18.213
20.752,19.091
21.311,15.485
18.815,15.605
21.868,17.136
17.286,17.628
18.65,15.743
21.217,17.264
20.172,18.595
22.395,19.091
20.379,18.293
18.413,18.81
20.086,18.527
19.332,19.242
20.153,17.972
20.153,19.796
20.153,21.094
20.153,20.69
20.153,18.183
20.153,18.981
20.153,19.104
20.153,18.192
20.153,17.584
20.153,19.092
20.153,22.081
20.153,20.094
20.153,18.693
20.153,18.75
20.153,19.956
20.153,17.591
20.153,18.567
20.153,17.965
20.153,20.563
20.153,19.441
20.153,16.747
20.153,18.713
20.153,14.489
20.153,16.891
20.153,15.344
20.153,17.514
20.153,16.641
20.153,15.261
20.153,19.513
20.153,21.073
20.153,21.162
20.153,16.917
20.153,18.669
20.153,19.099
20.153,19.325
20.153,19.19
20.153,18.361
20.153,20.313
20.153,19.742
20.153,16.224
20.153,20.19
20.153,21.684
20.153,21.366
20.153,18.179
20.153,20.677
20.153,18.647
20.153,22.013
20.153,16.962
20.153,19.334
20.153,19.339
20.153,18.725
20.153,19.325
20.153,20.527
20.153,19.636
20.153,20.798
20.153,19.595
20.153,18.088
20.153,18.314
20.153,18.023
20.153,20.531
20.153,17.768
20.153,19.521
20.153,17.528
20.153,18.222
20.153,19.424
20.153,18.278
20.153,16.947
20.153,16.537
20.153,19.223
20.153,16.067
20.153,17.265
20.153,18.345
20.153,17.915
20.153,18.412
20.153,16.169
20.153,17.385
20.153,17.025
20.153,17.748
20.153,16.468
20.153,19.504
20.153,17.297
20.153,18.397
20.153,19.096
20.153,18.803
20.153,19.074
20.153,17.651
20.153,15.561
20.153,19.218
20.153,18.598
20.153,16.313
20.153,17.135
20.153,16.209
20.153,18.865
20.153,17.296
20.153,16.939
20.153,20.621
20.153,20.807
20.153,19.02
20.153,18.822
20.153,22.466
20.153,19.572
20.153,19.413
20.153,19.021
20.153,19.717
20.153,17.551
20.153,19.279
20.153,18.403
20.153,17.881
20.153,19.764
20.153,17.805
20.153,17.504
20.153,17.333
20.153,19.644
20.153,17.167
20.153,16.283
20.153,17.806
20.153,18.087
20.153,19.716
20.153,18.832
20.153,20.306
20.153,20.308
20.153,20.002
20.153,18.899
20.153,20.889
20.153,20.016
20.153,18.569
20.153,17.911
20.153,20.571
20.153,17.611
20.153,17.221
20.153,18.304
20.153,17.015
20.153,17.456
20.153,18.221
20.153,19.333
20.153,20.094
20.153,17.549
20.153,17.14
20.153,19.108
20.153,20.034
20.153,17.363
20.153,17.743
20.153,18.023
20.153,18.497
17.26,19.034
17.26,16.579
17.26,16.8
17.26,18.276
17.26,18.538
17.26,17.125
17.26,18.924
17.26,18.973
17.26,20.859
17.26,17.898
17.26,18.569
17.26,19.759
17.26,17.806
17.26,20.65
17.26,19.055
17.26,18.023
17.26,18.519
17.26,18.922
17.26,17.257
