group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
unmammed,30.15,30.067,29,29.017,29.069,29.155,27.295,26.476,26.476,24.515,24.515,23.77,22.561,21.587,20.881,19.647,18.682,16.492,16.492,15.297,15.133,14.142,12.042,12,12.042,11.18,10.44,11.705,10.77,10.296,10.817,11.402,12.042,12.042,9.899,11.402,12.207,12.207,12.207,12.207,12.53,12.53,12.53,13.416,12.083,13,13,12.649,12.649,13.342,13.342,13.342,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.459,27.166,27.074,28.018,27,25,25.08,25.08,24.187,23.195,22.204,22.091,20.224,20.224,19.235,19.105,17.263,16.125,15.033,14.036,14.036,13,13,12.042,11.18,11.402,10.77,9.849,10.296,10.817,10,10.63,10.63,9.899,10.817,11.402,10.817,10.817,11.662,11.662,11.662,12.083,10.77,10.77,11.705,11.705,11.402,11.402,11.402,11.18,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.08,26.571,25,25.71,25,23.537,24.331,24.187,23.195,21.213,22.091,21.095,20.1,19.105,18.111,18.111,16.125,15.133,14.318,14.318,13.342,12.649,12.649,12.083,11.18,10.296,10,9.899,9.22,10,9.434,10.296,10.296,9.849,10.44,10.44,10.198,10.198,10.198,11.045,11.045,10.05,11,11,10.05,10.05,10.198,10.198,10.44,10.44,10.77,10.77,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.428,29.275,29.155,30.067,29,28,27.019,28.071,27.074,26.173,25.318,24.331,23.345,22.361,22.361,21.213,20.224,19.235,17.117,17.117,16.125,16.031,16.031,15.033,14.036,14.142,13.342,12.649,12.649,13.416,12.53,13.038,13.038,12.806,13.601,13.454,13.454,12.728,14.866,13.454,13.454,13.454,13.601,12.207,13.038,13.038,13.038,12.083,12.53,13,13,12.649,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,21,24.083,29.017,24.331,21.587,21.84,23.537,23.537,21.84,20.248,20.616,18.682,18.682,18.028,17.464,15.524,14.56,14.318,13.153,13.342,12.166,13.038,12.042,11.045,11,11.045,11.18,10.44,10.44,10.77,9.849,10.296,10.296,10.296,10.817,10.817,11.402,10.63,11.402,10.63,11.314,11.314,11.314,10.63,10.63,10.63,10.817,10.296,10.296,10.296,10.296,9.849,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,24.207,24.083,23.345,24.042,23.345,23.431,22.023,22.804,21.633,20.809,20.248,19.416,18.868,18.868,17.493,16.125,16.125,14.422,14.422,13.892,13.038,12.207,12.806,12.042,11.314,11.314,10.63,10.817,10,9.434,9.849,9.487,9.487,9.487,8.544,9.22,10.198,10.05,10.05,10.05,10.05,10.05,10,10,10.05,10.05,9.055,10.198,10.198,9.22,10.198,9.487,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29,29.069,28.425,29.206,28.018,27.459,26.926,26.42,25.942,25.06,24.597,23.707,23.259,21.471,21.024,20.125,19.235,18.358,17.889,17.493,17.493,15.811,15.811,15,14.213,13.454,13.454,12.806,12.207,12.53,12.53,12.53,12.083,13,12.649,12.649,12.369,13.342,12.166,13.153,13.153,13.038,12,12,12.042,12,12.042,12.042,12.166,12.369,12.369,12.369,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,31.321,32.016,30.806,31.575,29.428,30.265,29.275,29.155,28.071,27.074,26.019,26.019,24.021,24.021,23,22,21.024,19.026,19.026,18.028,17.029,16.125,15.133,14.318,13.342,12.369,12.083,11.18,10.817,10,10.63,10.63,10.63,10.63,10,10.296,10.296,10.77,10.77,10.44,10.44,11.402,11.18,11.18,11.045,10.05,11,11,11.045,11.045,12.042,11.18,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,30.15,31.145,31.016,31.016,31,29.017,31.064,30.017,28.16,28.16,25.179,25.179,24.187,23.195,22.361,21.213,20.224,19.105,17.029,17.029,16.031,15,14,13.038,12.166,11.18,10.44,8.944,9.434,8.602,8.485,9.22,8.602,8.944,8.944,8.544,9.487,9.055,9.055,9.055,9,9,9.055,9.055,9.22,9.22,8.246,8.544,8.944,8.944,9.434,8.602,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,33.242,33.377,33.541,32.757,32.985,32.28,31.623,31.953,30.463,29.732,28.792,27.857,26.926,25.632,24.166,23.77,20.616,20.248,19.313,18.385,17.088,15.811,15.524,14.142,14.036,13,11.045,11.18,10.44,10.77,9.849,11.18,10.296,10.817,10.63,11.314,10.63,10.817,10.817,10.817,10.296,10.296,9.849,9.849,10.44,10.77,9.487,9.22,10.05,9,10,9.055,0,0,0,0,0,0,0,0,0,0,0,0
